<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.05.05	14:17:00	24273.70	24277.20	24263.70	24272.70	131	0	50
2026.05.05	14:18:00	24271.70	24276.70	24268.20	24269.20	131	0	50
2026.05.05	14:19:00	24268.70	24279.20	24265.70	24278.70	114	0	50
2026.05.05	14:20:00	24279.20	24283.20	24272.70	24279.20	120	0	50
2026.05.05	14:21:00	24279.70	24290.70	24279.20	24286.20	108	0	50
2026.05.05	14:22:00	24287.20	24292.70	24286.20	24290.70	120	0	50
2026.05.05	14:23:00	24290.20	24299.70	24286.20	24299.70	96	0	50
2026.05.05	14:24:00	24299.20	24308.20	24297.70	24306.20	105	0	50
2026.05.05	14:25:00	24307.20	24309.70	24302.70	24309.70	120	0	50
2026.05.05	14:26:00	24310.70	24312.20	24303.20	24304.70	101	0	50
2026.05.05	14:27:00	24304.20	24317.20	24304.20	24315.70	98	0	50
2026.05.05	14:28:00	24316.20	24333.20	24306.70	24318.70	147	0	50
2026.05.05	14:29:00	24319.70	24327.70	24312.20	24313.70	140	0	50
2026.05.05	14:30:00	24315.20	24319.20	24307.70	24310.70	108	0	50
2026.05.05	14:31:00	24311.70	24328.70	24310.70	24324.70	104	0	50
2026.05.05	14:32:00	24324.20	24345.20	24324.20	24343.20	120	0	50
2026.05.05	14:33:00	24344.70	24347.20	24335.70	24339.70	112	0	50
2026.05.05	14:34:00	24339.20	24347.20	24338.20	24344.70	86	0	50
2026.05.05	14:35:00	24345.70	24362.70	24345.20	24356.70	99	0	50
2026.05.05	14:36:00	24358.20	24359.70	24353.20	24353.70	85	0	50
2026.05.05	14:37:00	24352.70	24359.20	24349.70	24353.20	88	0	50
2026.05.05	14:38:00	24353.70	24361.70	24349.70	24359.20	103	0	50
2026.05.05	14:39:00	24358.70	24363.70	24356.70	24358.70	81	0	50
2026.05.05	14:40:00	24356.20	24363.20	24354.70	24354.70	99	0	50
2026.05.05	14:41:00	24353.70	24358.70	24349.70	24358.70	86	0	50
2026.05.05	14:42:00	24359.70	24361.70	24353.20	24354.70	80	0	50
2026.05.05	14:43:00	24353.70	24363.20	24350.70	24363.20	81	0	50
2026.05.05	14:44:00	24362.70	24363.20	24356.70	24357.70	111	0	50
2026.05.05	14:45:00	24357.20	24359.70	24350.20	24350.20	83	0	50
2026.05.05	14:46:00	24349.70	24360.70	24348.70	24359.20	88	0	50
2026.05.05	14:47:00	24359.70	24361.70	24351.70	24353.70	96	0	50
2026.05.05	14:48:00	24353.20	24359.20	24346.70	24347.70	100	0	50
2026.05.05	14:49:00	24347.20	24350.70	24344.70	24349.20	84	0	50
2026.05.05	14:50:00	24348.70	24348.70	24332.70	24333.70	111	0	50
2026.05.05	14:51:00	24333.20	24336.20	24329.70	24333.20	92	0	50
2026.05.05	14:52:00	24332.70	24341.70	24330.20	24341.70	82	0	50
2026.05.05	14:53:00	24342.20	24342.70	24328.70	24330.70	99	0	50
2026.05.05	14:54:00	24331.20	24336.70	24327.70	24332.20	96	0	50
2026.05.05	14:55:00	24331.70	24335.20	24326.70	24329.70	129	0	50
2026.05.05	14:56:00	24330.20	24334.70	24328.70	24330.70	100	0	50
2026.05.05	14:57:00	24331.70	24332.20	24323.20	24328.70	101	0	50
2026.05.05	14:58:00	24328.20	24332.20	24326.70	24327.70	93	0	50
2026.05.05	14:59:00	24326.70	24331.70	24321.20	24323.70	120	0	50
2026.05.05	15:00:00	24323.20	24323.20	24307.70	24311.70	105	0	50
2026.05.05	15:01:00	24310.70	24314.20	24305.70	24308.20	104	0	50
2026.05.05	15:02:00	24307.70	24310.70	24299.20	24303.70	131	0	50
2026.05.05	15:03:00	24304.20	24311.20	24302.20	24302.20	93	0	50
2026.05.05	15:04:00	24301.70	24306.20	24293.20	24302.70	138	0	50
2026.05.05	15:05:00	24303.70	24308.70	24294.70	24296.20	135	0	50
2026.05.05	15:06:00	24295.70	24334.70	24295.70	24326.70	175	0	50
2026.05.05	15:07:00	24327.20	24331.70	24306.20	24312.20	164	0	50
2026.05.05	15:08:00	24311.70	24335.70	24309.70	24330.20	147	0	50
2026.05.05	15:09:00	24329.70	24332.70	24320.20	24324.20	134	0	50
2026.05.05	15:10:00	24323.20	24345.70	24323.20	24331.20	143	0	50
2026.05.05	15:11:00	24330.70	24366.20	24330.20	24355.70	170	0	50
2026.05.05	15:12:00	24355.20	24363.70	24345.70	24347.70	151	0	50
2026.05.05	15:13:00	24348.20	24366.20	24347.20	24347.70	135	0	50
