<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.22	15:32:00	1468.86	1468.99	1468.86	1468.87	6	0	68
2025.05.22	15:33:00	1468.74	1468.86	1468.73	1468.73	4	0	68
2025.05.22	15:34:00	1468.85	1468.85	1468.47	1468.47	5	0	68
2025.05.22	15:35:00	1468.47	1468.60	1468.35	1468.48	12	0	68
2025.05.22	15:36:00	1468.60	1468.60	1468.47	1468.47	7	0	68
2025.05.22	15:37:00	1468.60	1468.60	1468.47	1468.47	2	0	68
2025.05.22	15:38:00	1468.47	1468.60	1468.47	1468.60	5	0	68
2025.05.22	15:39:00	1468.73	1468.73	1468.73	1468.73	1	0	68
2025.05.22	15:40:00	1468.49	1468.62	1468.49	1468.50	3	0	68
2025.05.22	15:41:00	1468.50	1469.38	1468.50	1469.01	13	0	68
2025.05.22	15:42:00	1469.14	1469.14	1469.01	1469.02	4	0	68
2025.05.22	15:43:00	1469.02	1469.15	1469.02	1469.02	3	0	68
2025.05.22	15:44:00	1469.14	1469.14	1469.02	1469.02	2	0	68
2025.05.22	15:45:00	1469.02	1469.02	1468.88	1469.02	5	0	68
2025.05.22	15:46:00	1469.02	1469.02	1468.74	1468.74	12	0	68
2025.05.22	15:47:00	1468.74	1468.86	1468.49	1468.49	4	0	68
2025.05.22	15:48:00	1468.49	1468.62	1468.49	1468.62	4	0	68
2025.05.22	15:49:00	1468.62	1468.75	1468.49	1468.75	4	0	68
2025.05.22	15:50:00	1468.75	1468.76	1468.75	1468.76	2	0	68
2025.05.22	15:51:00	1468.77	1468.91	1468.77	1468.91	3	0	68
2025.05.22	15:52:00	1468.79	1468.80	1468.56	1468.56	5	0	68
2025.05.22	15:53:00	1468.56	1468.81	1468.56	1468.56	7	0	68
2025.05.22	15:54:00	1468.56	1468.69	1468.56	1468.69	4	0	68
2025.05.22	15:55:00	1468.69	1468.69	1468.57	1468.58	3	0	68
2025.05.22	15:56:00	1468.58	1468.59	1468.58	1468.59	2	0	68
2025.05.22	15:57:00	1468.59	1468.59	1468.09	1468.09	7	0	68
2025.05.22	15:58:00	1468.09	1468.09	1468.09	1468.09	1	0	68
2025.05.22	15:59:00	1468.22	1468.34	1468.09	1468.34	4	0	68
2025.05.22	16:00:00	1468.47	1468.49	1468.35	1468.37	8	0	68
2025.05.22	16:01:00	1468.48	1468.49	1468.36	1468.49	3	0	68
2025.05.22	16:02:00	1468.37	1468.49	1468.37	1468.37	3	0	68
2025.05.22	16:03:00	1468.46	1468.58	1468.46	1468.58	4	0	68
2025.05.22	16:04:00	1468.46	1468.46	1468.46	1468.46	1	0	68
2025.05.22	16:05:00	1468.46	1468.58	1468.45	1468.58	4	0	68
2025.05.22	16:06:00	1468.46	1468.59	1468.46	1468.59	3	0	68
2025.05.22	16:08:00	1468.47	1468.59	1468.46	1468.46	3	0	68
2025.05.22	16:09:00	1468.46	1468.59	1468.46	1468.47	6	0	68
2025.05.22	16:10:00	1468.47	1468.47	1468.21	1468.33	8	0	68
2025.05.22	16:11:00	1468.35	1468.45	1468.33	1468.45	3	0	68
2025.05.22	16:12:00	1468.59	1468.59	1468.45	1468.58	8	0	68
2025.05.22	16:13:00	1468.46	1468.60	1468.46	1468.60	7	0	68
2025.05.22	16:14:00	1468.73	1468.73	1468.48	1468.49	4	0	68
2025.05.23	10:03:00	1475.03	1475.28	1474.91	1475.28	4	0	68
2025.05.23	10:04:00	1475.41	1476.28	1475.41	1476.28	14	0	68
