<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.16	15:00:00	2640.75	2640.75	2639.75	2640.50	15	0	25
2025.09.16	15:01:00	2640.50	2641.25	2640.00	2640.00	16	0	25
2025.09.16	15:02:00	2639.75	2641.00	2639.75	2640.75	13	0	25
2025.09.16	15:03:00	2640.75	2642.00	2640.50	2641.75	15	0	25
2025.09.16	15:04:00	2641.75	2641.75	2640.25	2640.25	10	0	25
2025.09.16	15:05:00	2640.25	2640.25	2639.00	2639.00	12	0	25
2025.09.16	15:06:00	2639.25	2639.50	2638.75	2638.75	17	0	25
2025.09.16	15:07:00	2639.00	2639.50	2639.00	2639.50	19	0	25
2025.09.16	15:08:00	2639.25	2640.00	2639.25	2640.00	20	0	25
2025.09.16	15:09:00	2640.00	2640.75	2639.75	2640.50	29	0	25
2025.09.16	15:10:00	2640.50	2640.75	2640.00	2640.00	15	0	25
2025.09.16	15:11:00	2639.75	2640.00	2639.25	2639.25	21	0	25
2025.09.16	15:12:00	2639.50	2639.75	2639.25	2639.25	34	0	25
2025.09.16	15:13:00	2639.50	2640.50	2639.25	2640.00	19	0	25
2025.09.16	15:14:00	2640.25	2640.50	2639.50	2640.00	22	0	25
2025.09.16	15:15:00	2640.25	2641.00	2640.25	2640.75	25	0	25
2025.09.16	15:16:00	2641.00	2641.50	2640.25	2640.50	31	0	25
2025.09.16	15:17:00	2640.50	2641.25	2640.25	2641.25	20	0	25
2025.09.16	15:18:00	2641.00	2641.00	2640.25	2641.00	13	0	25
2025.09.16	15:19:00	2641.25	2641.25	2640.75	2641.00	6	0	25
2025.09.16	15:20:00	2641.25	2641.50	2641.25	2641.50	8	0	50
2025.09.16	15:21:00	2641.25	2642.50	2640.75	2642.00	27	0	25
2025.09.16	15:22:00	2642.25	2642.75	2642.00	2642.50	10	0	25
2025.09.16	15:23:00	2642.75	2642.75	2642.25	2642.75	13	0	25
2025.09.16	15:24:00	2642.50	2642.50	2641.75	2642.50	15	0	25
2025.09.16	15:25:00	2642.50	2642.75	2642.25	2642.75	4	0	25
2025.09.16	15:26:00	2642.50	2642.50	2642.25	2642.25	12	0	25
2025.09.16	15:27:00	2642.50	2642.75	2642.25	2642.50	19	0	25
2025.09.16	15:28:00	2642.75	2643.75	2642.75	2643.50	12	0	50
2025.09.16	15:29:00	2643.50	2643.75	2643.25	2643.50	17	0	50
2025.09.16	15:30:00	2643.25	2643.50	2643.25	2643.25	5	0	50
2025.09.16	15:31:00	2643.50	2644.00	2643.25	2643.50	15	0	50
2025.09.16	15:32:00	2643.50	2643.50	2642.00	2643.25	26	0	50
2025.09.16	15:33:00	2643.25	2644.00	2643.25	2643.75	18	0	50
2025.09.16	15:34:00	2643.50	2643.50	2642.75	2643.25	9	0	50
2025.09.16	15:35:00	2643.00	2643.50	2643.00	2643.00	21	0	50
2025.09.16	15:36:00	2642.75	2643.00	2642.50	2642.50	30	0	50
2025.09.16	15:37:00	2642.50	2642.75	2641.50	2641.75	20	0	50
2025.09.16	15:38:00	2641.50	2642.00	2641.25	2641.50	17	0	50
2025.09.16	15:39:00	2641.25	2641.50	2640.75	2640.75	21	0	50
2025.09.16	15:40:00	2640.50	2640.50	2639.50	2639.50	13	0	50
2025.09.16	15:41:00	2639.50	2640.25	2639.50	2640.25	22	0	50
2025.09.16	15:42:00	2640.00	2640.00	2639.25	2639.50	17	0	50
2025.09.16	15:43:00	2639.75	2640.75	2639.75	2640.75	17	0	50
2025.09.16	15:44:00	2641.00	2641.25	2640.75	2641.00	13	0	50
2025.09.16	15:45:00	2641.25	2641.75	2641.25	2641.50	16	0	50
2025.09.16	15:46:00	2641.25	2641.25	2640.50	2640.75	20	0	50
2025.09.16	15:47:00	2640.50	2640.75	2639.75	2639.75	18	0	50
2025.09.16	15:48:00	2639.75	2640.00	2639.50	2640.00	20	0	50
2025.09.16	15:49:00	2639.75	2640.25	2639.75	2640.00	6	0	50
2025.09.16	15:50:00	2640.00	2640.25	2639.50	2639.75	14	0	50
2025.09.16	15:51:00	2640.00	2640.00	2639.25	2639.75	20	0	50
2025.09.16	15:52:00	2639.50	2639.75	2639.50	2639.75	4	0	50
2025.09.16	15:53:00	2639.50	2640.50	2639.50	2640.00	29	0	50
2025.09.16	15:54:00	2639.75	2639.75	2639.00	2639.50	10	0	50
2025.09.16	15:55:00	2639.25	2639.25	2639.00	2639.25	5	0	50
2025.09.16	15:56:00	2639.00	2639.50	2638.50	2639.00	19	0	50
2025.09.16	15:57:00	2638.75	2639.00	2638.50	2638.75	11	0	50
2025.09.16	15:58:00	2638.50	2639.25	2638.50	2638.50	11	0	50
2025.09.16	15:59:00	2638.25	2638.25	2633.25	2635.25	69	0	50
2025.09.16	16:00:00	2635.00	2636.25	2634.75	2635.75	57	0	50
2025.09.16	16:01:00	2635.75	2636.25	2635.00	2635.25	26	0	50
2025.09.16	16:02:00	2635.25	2635.75	2635.25	2635.50	18	0	50
2025.09.16	16:03:00	2635.50	2635.50	2634.25	2634.25	22	0	50
2025.09.16	16:04:00	2634.25	2635.75	2634.00	2635.50	28	0	50
2025.09.16	16:05:00	2635.75	2636.25	2635.25	2636.00	24	0	50
2025.09.16	16:06:00	2635.75	2636.50	2635.75	2636.50	20	0	50
2025.09.16	16:07:00	2636.25	2637.00	2636.25	2636.50	20	0	50
2025.09.16	16:08:00	2636.50	2636.75	2636.25	2636.50	17	0	50
2025.09.16	16:09:00	2636.50	2636.75	2635.75	2635.75	23	0	50
2025.09.16	16:10:00	2635.50	2635.75	2634.75	2634.75	18	0	50
2025.09.16	16:11:00	2634.50	2634.75	2634.25	2634.25	18	0	50
2025.09.16	16:12:00	2634.25	2634.50	2634.25	2634.50	8	0	50
2025.09.16	16:13:00	2634.75	2634.75	2634.50	2634.75	9	0	50
2025.09.16	16:14:00	2634.75	2635.75	2634.75	2635.75	9	0	50
2025.09.16	16:15:00	2635.75	2636.50	2635.25	2635.50	12	0	50
2025.09.16	16:16:00	2635.25	2635.50	2634.75	2634.75	7	0	50
2025.09.16	16:17:00	2634.50	2635.50	2634.50	2635.50	11	0	50
2025.09.16	16:18:00	2635.25	2635.25	2634.50	2634.75	25	0	50
2025.09.16	16:19:00	2634.50	2634.75	2634.00	2634.00	17	0	50
2025.09.16	16:20:00	2634.00	2634.25	2633.00	2633.50	19	0	50
2025.09.16	16:21:00	2633.25	2633.50	2632.75	2633.25	11	0	50
2025.09.16	16:22:00	2633.00	2633.25	2632.75	2633.25	32	0	50
2025.09.16	16:23:00	2633.50	2633.50	2632.50	2632.50	23	0	25
2025.09.16	16:24:00	2632.25	2632.50	2632.00	2632.25	13	0	25
2025.09.16	16:25:00	2632.25	2632.50	2631.75	2631.75	23	0	25
2025.09.16	16:26:00	2632.00	2632.50	2631.50	2631.50	23	0	25
2025.09.16	16:27:00	2631.75	2631.75	2630.75	2631.00	12	0	25
2025.09.16	16:28:00	2630.75	2631.25	2630.75	2631.00	20	0	25
2025.09.16	16:29:00	2631.25	2631.25	2630.00	2630.00	26	0	25
2025.09.16	16:30:00	2630.25	2631.00	2629.25	2630.50	50	0	50
2025.09.16	16:31:00	2630.75	2632.00	2630.00	2631.00	49	0	50
2025.09.16	16:32:00	2631.25	2631.25	2630.25	2631.00	46	0	50
2025.09.16	16:33:00	2630.75	2632.00	2630.50	2631.25	44	0	50
2025.09.16	16:34:00	2631.00	2631.75	2630.50	2630.50	44	0	50
2025.09.16	16:35:00	2630.25	2630.50	2628.75	2628.75	37	0	50
2025.09.16	16:36:00	2628.75	2630.50	2628.75	2630.25	37	0	50
2025.09.16	16:37:00	2630.50	2630.75	2629.00	2629.25	42	0	50
2025.09.16	16:38:00	2629.00	2630.00	2628.00	2628.50	39	0	50
2025.09.16	16:39:00	2628.50	2629.25	2628.25	2628.50	37	0	50
2025.09.16	16:40:00	2628.75	2629.50	2628.00	2628.00	50	0	50
2025.09.16	16:41:00	2627.75	2628.25	2627.50	2628.25	42	0	50
2025.09.16	16:42:00	2628.00	2629.75	2628.00	2628.75	50	0	25
2025.09.16	16:43:00	2628.50	2629.25	2628.25	2629.00	39	0	50
2025.09.16	16:44:00	2628.75	2629.25	2627.75	2628.25	41	0	50
2025.09.16	16:45:00	2628.00	2628.75	2627.25	2628.25	41	0	50
2025.09.16	16:46:00	2628.50	2628.75	2627.50	2627.75	26	0	50
2025.09.16	16:47:00	2627.50	2628.25	2627.25	2627.75	44	0	50
2025.09.16	16:48:00	2627.50	2628.00	2627.00	2627.75	25	0	50
2025.09.16	16:49:00	2627.50	2628.00	2626.75	2626.75	38	0	50
2025.09.16	16:50:00	2626.75	2626.75	2625.00	2625.25	63	0	50
2025.09.16	16:51:00	2625.00	2625.50	2624.75	2625.00	35	0	50
